128	 6,7587500000e+001	 3,96671e+001	-9,94812e+000
129	 6,7600000000e+001	 3,96455e+001	-9,86439e+000
130	 6,7612500000e+001	 3,98645e+001	-1,00947e+001
131	 6,7625000000e+001	 4,05873e+001	-1,04080e+001
132	 6,7637500000e+001	 4,05010e+001	-1,03915e+001
133	 6,7650000000e+001	 4,01898e+001	-1,02769e+001
134	 6,7662500000e+001	 4,05987e+001	-1,00746e+001
135	 6,7675000000e+001	 4,07744e+001	-1,03329e+001
136	 6,7687500000e+001	 4,10614e+001	-1,06232e+001
137	 6,7700000000e+001	 4,13145e+001	-1,03909e+001
138	 6,7712500000e+001	 4,15034e+001	-1,03710e+001
139	 6,7725000000e+001	 4,16850e+001	-1,09378e+001
140	 6,7737500000e+001	 4,19503e+001	-1,09197e+001
141	 6,7750000000e+001	 4,22187e+001	-1,07901e+001
142	 6,7762500000e+001	 4,25815e+001	-1,08165e+001
143	 6,7775000000e+001	 4,29524e+001	-1,12224e+001
144	 6,7787500000e+001	 4,32604e+001	-1,13001e+001
145	 6,7800000000e+001	 4,33297e+001	-1,14696e+001
146	 6,7812500000e+001	 4,34430e+001	-1,15890e+001
147	 6,7825000000e+001	 4,40892e+001	-1,17366e+001
148	 6,7837500000e+001	 4,45219e+001	-1,19601e+001
149	 6,7850000000e+001	 4,43221e+001	-1,19222e+001
150	 6,7862500000e+001	 4,44654e+001	-1,18429e+001
151	 6,7875000000e+001	 4,46453e+001	-1,22940e+001
152	 6,7887500000e+001	 4,49772e+001	-1,26889e+001
153	 6,7900000000e+001	 4,52596e+001	-1,24389e+001
154	 6,7912500000e+001	 4,57249e+001	-1,22454e+001
155	 6,7925000000e+001	 4,57700e+001	-1,23631e+001
156	 6,7937500000e+001	 4,57717e+001	-1,24695e+001
157	 6,7950000000e+001	 4,59693e+001	-1,24599e+001
158	 6,7962500000e+001	 4,68234e+001	-1,28195e+001
159	 6,7975000000e+001	 4,69737e+001	-1,29785e+001
160	 6,7987500000e+001	 4,68459e+001	-1,30716e+001
161	 6,8000000000e+001	 4,71162e+001	-1,33064e+001
162	 6,8012500000e+001	 4,74998e+001	-1,31520e+001
163	 6,8025000000e+001	 4,76717e+001	-1,32272e+001
164	 6,8037500000e+001	 4,83655e+001	-1,31161e+001
165	 6,8050000000e+001	 4,90332e+001	-1,32548e+001
166	 6,8062500000e+001	 4,90328e+001	-1,37546e+001
167	 6,8075000000e+001	 4,90215e+001	-1,37651e+001
168	 6,8087500000e+001	 4,93025e+001	-1,39769e+001
169	 6,8100000000e+001	 4,95113e+001	-1,41532e+001
170	 6,8112500000e+001	 4,97825e+001	-1,38963e+001
171	 6,8125000000e+001	 5,02296e+001	-1,39324e+001
172	 6,8137500000e+001	 5,07001e+001	-1,39845e+001
173	 6,8150000000e+001	 5,07397e+001	-1,44741e+001
174	 6,8162500000e+001	 5,12360e+001	-1,51493e+001
175	 6,8175000000e+001	 5,15971e+001	-1,52311e+001
176	 6,8187500000e+001	 5,18733e+001	-1,47425e+001
177	 6,8200000000e+001	 5,19938e+001	-1,52395e+001
178	 6,8212500000e+001	 5,22857e+001	-1,49632e+001
179	 6,8225000000e+001	 5,25548e+001	-1,49757e+001
180	 6,8237500000e+001	 5,26942e+001	-1,53146e+001
181	 6,8250000000e+001	 5,28244e+001	-1,55564e+001
182	 6,8262500000e+001	 5,31930e+001	-1,59440e+001
183	 6,8275000000e+001	 5,40541e+001	-1,62531e+001
184	 6,8287500000e+001	 5,41748e+001	-1,59913e+001
185	 6,8300000000e+001	 5,46587e+001	-1,60694e+001
186	 6,8312500000e+001	 5,48543e+001	-1,62552e+001
187	 6,8325000000e+001	 5,48152e+001	-1,67930e+001
188	 6,8337500000e+001	 5,53264e+001	-1,67786e+001
189	 6,8350000000e+001	 5,57657e+001	-1,68081e+001
190	 6,8362500000e+001	 5,59496e+001	-1,67482e+001
191	 6,8375000000e+001	 5,63366e+001	-1,69573e+001
192	 6,8387500000e+001	 5,67745e+001	-1,71070e+001
193	 6,8400000000e+001	 5,69767e+001	-1,70706e+001
194	 6,8412500000e+001	 5,71951e+001	-1,69978e+001
195	 6,8425000000e+001	 5,73772e+001	-1,72027e+001
196	 6,8437500000e+001	 5,77219e+001	-1,78243e+001
197	 6,8450000000e+001	 5,83013e+001	-1,80116e+001
198	 6,8462500000e+001	 5,84961e+001	-1,81350e+001
199	 6,8475000000e+001	 5,92782e+001	-1,79505e+001
200	 6,8487500000e+001	 5,91361e+001	-1,82642e+001
201	 6,8500000000e+001	 6,04235e+001	-1,87817e+001
202	 6,8512500000e+001	 6,02920e+001	-1,84685e+001
203	 6,8525000000e+001	 6,01547e+001	-1,87018e+001
204	 6,8537500000e+001	 6,04994e+001	-1,94009e+001
205	 6,8550000000e+001	 6,13777e+001	-1,90725e+001
206	 6,8562500000e+001	 6,15121e+001	-1,93695e+001
207	 6,8575000000e+001	 6,20320e+001	-1,95563e+001
208	 6,8587500000e+001	 6,20701e+001	-1,89337e+001
209	 6,8600000000e+001	 6,32422e+001	-1,98162e+001
210	 6,8612500000e+001	 6,37049e+001	-2,01672e+001
211	 6,8625000000e+001	 6,38942e+001	-2,01914e+001
212	 6,8637500000e+001	 6,43763e+001	-2,04745e+001
213	 6,8650000000e+001	 6,46908e+001	-2,07474e+001
214	 6,8662500000e+001	 6,49881e+001	-2,13202e+001
215	 6,8675000000e+001	 6,51667e+001	-2,12151e+001
216	 6,8687500000e+001	 6,59350e+001	-2,11101e+001
217	 6,8700000000e+001	 6,64426e+001	-2,16063e+001
218	 6,8712500000e+001	 6,71239e+001	-2,19902e+001
219	 6,8725000000e+001	 6,76664e+001	-2,23951e+001
220	 6,8737500000e+001	 6,81272e+001	-2,30195e+001
221	 6,8750000000e+001	 6,79996e+001	-2,38117e+001
222	 6,8762500000e+001	 6,76511e+001	-2,35650e+001
223	 6,8775000000e+001	 6,79180e+001	-2,34481e+001
224	 6,8787500000e+001	 6,82398e+001	-2,37830e+001
225	 6,8800000000e+001	 6,92644e+001	-2,40565e+001
226	 6,8812500000e+001	 7,03694e+001	-2,41292e+001
227	 6,8825000000e+001	 7,01443e+001	-2,41333e+001
228	 6,8837500000e+001	 7,06606e+001	-2,46315e+001
229	 6,8850000000e+001	 7,12630e+001	-2,53342e+001
230	 6,8862500000e+001	 7,19814e+001	-2,56872e+001
231	 6,8875000000e+001	 7,21191e+001	-2,59202e+001
232	 6,8887500000e+001	 7,28633e+001	-2,63225e+001
233	 6,8900000000e+001	 7,32290e+001	-2,52596e+001
234	 6,8912500000e+001	 7,32792e+001	-2,53153e+001
235	 6,8925000000e+001	 7,41293e+001	-2,55840e+001
236	 6,8937500000e+001	 7,45701e+001	-2,64529e+001
237	 6,8950000000e+001	 7,44277e+001	-2,68216e+001
238	 6,8962500000e+001	 7,50017e+001	-2,68518e+001
239	 6,8975000000e+001	 7,58691e+001	-2,74732e+001
